id,title,image,category,author,authorPic,published_date,reading_time,content,tags/0,tags/1
73,"Opsera, a DevOps platform geared toward enterprises, raises $12M",https://techcrunch.com/wp-content/uploads/2023/08/GettyImages-1439425791-1.jpg?w=430&h=230&crop=1,Startups,Kyle Wiggers,author1.jpg,2023-10-01,6 minutes,"Opsera, a DevOps platform geared toward enterprise clients, today announced that it raised $12 million in a funding round — a tranche smaller than Opsera’s previous — led by Taiwa...",Apps,Writing
74,EU lawmakers take aim at ‘arbitrary’ decisions by Big Tech in Media Freedom Act vote,https://techcrunch.com/wp-content/uploads/2023/05/GettyImages-1459166551.jpg?w=430&h=230&crop=1,AI,Natasha Lomas,author1.jpg,2023-10-01,6 minutes,Mainstream social media platforms could face limits on their ability to take down independent journalism that violates their terms and conditions under a proposal agreed by European Union lawmakers...,Apps,Writing
75,Make these 5 changes to avoid becoming the next cybersecurity headline,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1455969376.jpg?w=430&h=230&crop=1,Work,Jim Broome,author1.jpg,2023-10-01,6 minutes,"Recent incidents, such as the breach at MGM Resorts, serve as stark reminders of the potential consequences of inadequate security measures.",Apps,Writing
76,Make these 5 changes to avoid becoming the next cybersecurity headline,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1455969376.jpg?w=430&h=230&crop=1,Apps,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,"Uber is expanding its peer-to-peer package delivery service, Uber Connect. Now, customers who don’t want to schlep a package to the post office can request an Uber courier to do it for them w...",Apps,Writing
77,"Open Banking led to a FinTech boom — As Brite raises $60M, account-to-account payment grows",https://techcrunch.com/wp-content/uploads/2023/04/hero-option-2-1.jpg?w=430&h=230&crop=1,Startups,Mike Butcher,author1.jpg,2023-10-01,6 minutes,"The move towards Open Banking payments, especially in the EU, effectively kicked-off the FinTech boom. Open Baking standards meant that FinTech startups could create Wallets and effectively become ...",Apps,Writing
78,Krafton India launches gaming incubator to expand local ecosystem,https://techcrunch.com/wp-content/uploads/2023/10/krafton-india-ceo-sean-hyunil-sohn.jpeg?w=430&h=230&crop=1,Startups,Jagmeet Singh,author1.jpg,2023-10-01,6 minutes,"The move towards Open Banking payments, especially in the EU, effectively kicked-off the FinTech boom. Open Baking standards meant that FinTech startups could create Wallets and effectively become ...",Startups,Writing
79,Electric Hydrogen is the green hydrogen industry’s first unicorn,https://techcrunch.com/wp-content/uploads/2023/10/Small-cell-Testing-in-EH2-Natick-Accelerated-Lifetime-Testing-Facility-2.jpg?w=430&h=230&crop=1,Security,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,"Investors have historically been skeptical of green hydrogen. High production costs, expensive infrastructure builds, competition with batteries and minimal government support have made the green h...",Startups,Writing
80,"In latest Cruise incident, video shows pedestrian struck by human-driven car, then run over by robotaxi",https://techcrunch.com/wp-content/uploads/2022/10/Cruise_700848.jpg?w=430&h=230&crop=1,Startups,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,The San Francisco Police Department is investigating an October 2 incident that left a woman stuck underneath a Cruise robotaxi after being hit by a human-driven vehicle. Video captured by Cruise a...,Startups,Writing
1,Meta debuts generative AI features for advertisers,https://techcrunch.com/wp-content/uploads/2023/10/meta-gen-ai-ads.jpg?w=430&h=230&crop=1,AI,Sarah Perez,author1.jpg,2023-10-04,5 minutes,"Meta announced today it is rolling out its first generative AI features for advertisers, allowing them to use AI to create backgrounds, expand images, and generate multiple versions of ad text...",Blogging,Writing
2,Ask Sophie: What are the options for replacing an L-1A visa?,https://techcrunch.com/wp-content/uploads/2021/01/dear-sophie-immigration-maze-3.jpg?w=430&h=230&crop=1,Work,Sophie Alcorn,author1.jpg,2023-10-04,4 minutes,It is time for Congress to raise the numerical caps and eliminate the country-of-birth caps!,Work,Blogging
81,"In latest Cruise incident, video shows pedestrian struck by human-driven car, then run over by robotaxi",https://techcrunch.com/wp-content/uploads/2022/10/Cruise_700848.jpg?w=430&h=230&crop=1,Security,Rebecca Bellan,author1.jpg,2023-10-01,6 minutes,The San Francisco Police Department is investigating an October 2 incident that left a woman stuck underneath a Cruise robotaxi after being hit by a human-driven vehicle. Video captured by Cruise a...,Startups,Writing
82,Meta debuts generative AI features for advertisers,https://techcrunch.com/wp-content/uploads/2023/10/meta-gen-ai-ads.jpg?w=430&h=230&crop=1,Security,Sarah Perez,author1.jpg,2023-10-04,5 minutes,"Meta announced today it is rolling out its first generative AI features for advertisers, allowing them to use AI to create backgrounds, expand images, and generate multiple versions of ad text...",Blogging,Writing
83,Ask Sophie: What are the options for replacing an L-1A visa?,https://techcrunch.com/wp-content/uploads/2021/01/dear-sophie-immigration-maze-3.jpg?w=430&h=230&crop=1,Startups,Sophie Alcorn,author1.jpg,2023-10-04,4 minutes,It is time for Congress to raise the numerical caps and eliminate the country-of-birth caps!,Work,Blogging
